Site_Name,Stream_Name ,Site_Number,Date_Collected,Sample_Type, Sample_ID,Running_Number,L_Volume,Vial_Volume,Concentration_Factor ,Nitrate,N_Blank,TotalN,Nutrient_Sample_ID,TotalP,T_Blank,Total_P,13-C3_Caffeine,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Glyphosate_ND,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6172021,Grab,144-TVFF21,TVFF21-014,1001.1,0.811630847,1233.442523,2.06,0.02,3.07,TVFF21-014,0.165,0.01,0.237,NA,1.62148E-07,NA,NA,NA,1.21611E-06,NA,NA,NA,4.86443E-07,NA,6.16162E-06,1.62148E-07,4.0537E-07,NA,NA,4.86443E-07,NA,1.13503E-06,NA,NA,NA,NA,NA,0,NA,5.25359E-05,0,0,0,NA,2.43222E-07,NA,5.67517E-07,NA,NA,NA,NA,0,NA,1.62148E-07,NA,0,NA,8.91813E-07,NA,NA,NA,NA,NA,NA
Keith_Nelson,Warriors_Mark_Run ,6,6172021,Grab,145-TVFF21,TVFF21-015,1001.7,0.805562579,1243.478814,2.57,0.02,3.83,TVFF21-015,0.099,0.01,0.139,NA,9.65035E-07,NA,NA,NA,1.36713E-06,NA,NA,NA,5.62937E-07,8.04195E-08,8.28321E-06,0,0,NA,NA,2.41259E-07,NA,2.73426E-06,NA,NA,NA,NA,NA,NA,NA,3.72342E-05,0,0,NA,NA,1.60839E-07,NA,NA,NA,NA,NA,NA,1.60839E-07,NA,4.82517E-07,NA,NA,NA,7.23776E-07,NA,NA,NA,NA,NA,NA
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6172021,Grab,146-TVFF21,TVFF21-016,997.8,0.904804046,1102.780215,1.38,0.02,2.05,TVFF21-016,0.137,0.01,0.196,NA,NA,NA,NA,NA,2.81108E-06,NA,NA,NA,8.16119E-07,NA,1.22418E-05,2.35768E-06,9.06799E-08,NA,NA,2.7204E-07,NA,9.06799E-08,NA,NA,NA,NA,NA,NA,NA,9.28562E-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,9.06799E-08,NA,NA,NA,1.8136E-07,NA,2.17632E-06,NA,NA,NA,7.25439E-07,NA,NA
Loville,Halfmoon_Creek ,8,6172021,Grab,147-TVFF21,TVFF21-018,992.5,0.622756005,1593.722087,2.75,0.02,4.1,TVFF21-018,0.089,0.01,0.124,NA,1.25492E-07,NA,NA,NA,5.27068E-06,6.27462E-08,NA,NA,1.31767E-06,0,7.84327E-06,0,1.25492E-07,NA,0,1.88239E-07,NA,8.78447E-07,2.50985E-07,7.52954E-07,NA,3.07456E-06,3.01182E-06,5.64716E-07,NA,NA,NA,0,NA,0,1.25492E-07,1.25492E-07,2.50985E-07,1.38042E-06,NA,0,NA,1.25492E-07,1.38042E-06,0,NA,NA,NA,1.02904E-05,NA,NA,0,6.27462E-08,NA,6.27462E-08
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6172021,Grab,148-TVFF21,TVFF21-017,1002.8,0.759418458,1320.484101,1.61,0.02,2.39,TVFF21-017,0.114,0.01,0.161,NA,1.5146E-07,1.5146E-07,NA,NA,2.12043E-06,NA,NA,NA,9.84487E-07,7.57298E-08,1.04507E-05,1.66606E-06,7.57298E-08,NA,NA,3.02919E-07,NA,2.27189E-07,NA,7.57298E-08,NA,1.06022E-06,6.81568E-07,2.27189E-07,NA,3.57445E-05,0,0,0,NA,0,NA,1.43887E-06,0.000181752,NA,NA,NA,7.57298E-08,1.5146E-07,NA,NA,7.57298E-08,NA,1.13595E-06,NA,NA,NA,3.02919E-07,NA,NA
Field Blank 6172021,All ,10,6172021,Grab,149-TVFF21,NA,1000,0.983312263,1016.970944,NA,NA,NA,NA,NA,NA,NA,NA,1.96662E-06,NA,NA,NA,1.78963E-05,NA,NA,NA,2.45828E-06,NA,1.96662E-07,0,0,NA,NA,4.91656E-07,NA,NA,NA,9.83312E-08,NA,5.89987E-07,NA,9.83312E-08,NA,7.48301E-05,NA,0,0,NA,2.94994E-07,NA,1.96662E-07,0.000236093,NA,NA,NA,9.83312E-08,NA,NA,NA,NA,NA,1.86829E-06,NA,NA,0,7.8665E-07,NA,NA
Ag_Progress_Days ,Spruce_Creek,1,6292021,Grab,150-TVFF21,TVFF21-019/020,923.7,0.929582807,993.6715622,1.38,0.02,2.05,TVFF21-020,0.011,0.01,0.006,NA,5.03184E-07,NA,NA,NA,3.22038E-06,NA,NA,NA,1.20764E-06,0,2.01274E-06,NA,4.02547E-07,NA,NA,3.01911E-07,NA,0,NA,NA,NA,4.02547E-07,NA,1.00637E-07,NA,5.96777E-05,0,0,NA,NA,0,NA,NA,0.000241629,NA,NA,NA,3.01911E-07,0,NA,NA,NA,NA,2.41528E-06,NA,NA,NA,NA,NA,NA
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6292021,Grab,151-TVFF21,TVFF21-021/022,1006.8,0.772060683,1304.042574,2.57,0.02,3.83,TVFF21-022,0.015,0.01,0.013,NA,3.29744E-06,NA,NA,NA,4.90782E-06,NA,NA,NA,8.43531E-07,NA,4.29434E-06,6.13477E-07,0,NA,0,3.06738E-07,NA,0,NA,NA,NA,NA,NA,0,NA,5.9814E-05,NA,0,0,0,NA,NA,5.36792E-07,0.00018412,NA,0,NA,7.66846E-08,NA,NA,NA,NA,NA,4.60108E-07,NA,NA,NA,NA,NA,NA
George_W_Harvey,Spruce_Creek,3,6292021,Grab,152-TVFF21,TVFF21-023/024,1003.7,0.808849558,1240.898249,2.59,0.02,3.87,TVFF21-024,0.02,0.01,0.02,NA,NA,NA,NA,NA,4.91579E-06,NA,NA,NA,8.86455E-07,NA,4.02934E-06,3.22347E-07,8.05868E-08,NA,NA,4.02934E-07,NA,1.61174E-07,NA,NA,NA,NA,NA,0,NA,4.85938E-05,NA,8.05868E-08,0,NA,1.12821E-06,NA,4.02934E-07,0,NA,NA,NA,3.22347E-07,NA,NA,NA,NA,NA,1.53115E-06,NA,NA,NA,NA,NA,NA
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6292021,Grab,153-TVFF21,TVFF21-025/026,1004.9,0.752591656,1335.252646,1.75,0.02,2.6,TVFF21-026,0.017,0.01,0.016,NA,7.48922E-08,NA,NA,NA,1.89477E-05,NA,NA,NA,2.09698E-06,0,2.99569E-06,1.49784E-07,0,NA,0,2.24677E-07,NA,1.49784E-07,NA,NA,NA,0,NA,0,NA,2.74105E-05,NA,0,0,0,6.7403E-07,NA,1.49784E-07,0,NA,NA,NA,2.24677E-07,NA,NA,NA,NA,NA,1.42295E-06,NA,NA,NA,NA,NA,NA
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6292021,Grab,154-TVFF21,TVFF21-027/028,983.2,0.837420986,1174.080918,2.28,0.02,3.4,TVFF21-028,0.02,0.01,0.02,NA,6.81384E-07,NA,NA,1.41387E-05,4.51417E-06,NA,NA,NA,7.66557E-07,NA,3.83279E-06,1.70346E-07,8.5173E-08,NA,0,3.40692E-07,NA,8.5173E-08,NA,NA,NA,0,NA,0,NA,4.53972E-05,NA,0,0,0,2.55519E-07,NA,NA,0.0002045,NA,NA,NA,2.55519E-07,NA,0,NA,NA,NA,4.00313E-06,0,NA,NA,NA,NA,NA
Keith_Nelson,Warriors_Mark_Run ,6,6302021,Grab,155-TVFF21,TVFF21-029/030,922.4,0.794184576,1161.442853,3.14,0.02,4.68,TVFF21-030,0.03,0.01,0.036,NA,NA,NA,NA,1.8081E-05,1.1193E-05,NA,NA,NA,1.4637E-06,NA,7.57678E-06,0,2.58299E-07,0.000175557,NA,1.722E-07,NA,1.722E-06,NA,NA,0.000175557,NA,NA,0,NA,3.41816E-05,0,8.60998E-08,NA,NA,3.44399E-07,NA,3.44399E-07,0,NA,NA,NA,1.722E-07,NA,0,NA,3.44399E-07,NA,1.8081E-06,NA,1.722E-07,NA,NA,NA,NA
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6302021,Grab,156-TVFF21,TVFF21-031/032,1001.4,0.824020228,1215.261429,1.41,0.02,2.09,TVFF21-032,0.091,0.01,0.127,NA,3.29147E-07,NA,NA,NA,8.7224E-06,NA,NA,NA,1.97488E-06,0,8.96926E-06,2.05717E-06,0,NA,NA,2.4686E-07,NA,NA,NA,8.22868E-08,NA,NA,8.22868E-08,0,NA,NA,NA,8.22868E-08,0,NA,6.58295E-07,NA,9.05155E-07,0.000197571,NA,NA,NA,1.64574E-07,NA,NA,NA,NA,NA,1.72802E-06,NA,NA,NA,2.4686E-07,NA,NA
Loville,Halfmoon_Creek ,8,6302021,Grab,157-TVFF21,TVFF21-033/034,1007.6,0.740707965,1360.32019,2.77,0.02,4.14,TVFF21-034,0.04,0.01,0.05,NA,7.35121E-08,NA,NA,NA,3.23453E-06,NA,NA,NA,7.35121E-07,0,7.57175E-06,NA,1.47024E-07,NA,NA,7.35121E-08,NA,8.82145E-07,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2.27888E-06,NA,NA,NA,NA,1.47024E-07,NA,NA,NA,NA,NA,1.17619E-06,NA,NA,NA,NA,NA,NA
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6302021,Grab,158-TVFF21,TVFF21-035/036,1000.3,0.945385588,1058.086788,1.71,0.02,2.54,TVFF21-036,0.071,0.01,0.097,NA,NA,NA,NA,NA,1.13412E-05,NA,NA,NA,1.13412E-06,0,1.03961E-05,1.41765E-06,9.45102E-08,NA,NA,2.83531E-07,NA,1.8902E-07,NA,9.45102E-08,NA,NA,NA,NA,NA,7.74984E-05,0,0,0,NA,NA,NA,2.83531E-06,NA,NA,0,NA,9.45102E-08,NA,0,NA,NA,NA,1.79569E-06,NA,NA,NA,9.45102E-08,NA,NA
Field Blank_6292021_6302021,All ,10,6302021,Grab,159-TVFF21,Field Blank_6292021_6302021,1020.2,0.981036662,1039.920361,NA,NA,NA,NA,NA,NA,NA,NA,5.76967E-07,NA,NA,NA,3.23102E-05,NA,NA,NA,3.65413E-06,NA,9.61612E-08,0,NA,NA,0,9.61612E-07,NA,2.88484E-07,NA,NA,NA,0,NA,NA,NA,7.12555E-05,NA,0,NA,0,NA,NA,NA,NA,NA,9.61612E-08,NA,9.61612E-08,NA,NA,NA,NA,NA,3.75029E-06,0,NA,NA,NA,NA,NA
Ag_Progress_Days ,Spruce_Creek,1,7152021,Grab,160-TVFF21,TVFF21-055/056,1009.2,1.165233881,866.092221,1.43,0.02,2.13,TVFF21-055,0.018,0.01,0.017,NA,1.15461E-07,NA,NA,NA,6.2349E-06,NA,NA,NA,1.38553E-06,0,5.77306E-06,NA,3.46383E-07,0.000235425,NA,6.92767E-07,NA,3.46383E-07,NA,1.15461E-07,0.000235425,NA,NA,0,NA,7.38951E-06,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,2.30922E-07,NA,NA,NA,NA,NA,1.15461E-06,NA,NA,NA,NA,NA,NA
Upper_Spruce_Creek_Church ,Spruce_Creek,2,7152021,Grab,161-TVFF21,TVFF21-057/058,1002,1.014664981,987.5180663,2.42,0.02,3.61,TVFF21-057,0.026,0.01,0.03,NA,2.63286E-06,NA,NA,NA,6.91633E-05,NA,NA,NA,9.11376E-07,0,5.36699E-06,9.11376E-07,3.03792E-07,NA,0,3.03792E-07,NA,1.01264E-07,NA,0,NA,NA,NA,NA,NA,3.24045E-06,0,0,0,0,0,NA,1.15441E-05,NA,NA,1.01264E-07,NA,2.02528E-07,NA,NA,NA,NA,NA,1.72149E-06,NA,NA,NA,NA,NA,NA
George_W_Harvey,Spruce_Creek,3,7152021,Grab,162-TVFF21,TVFF21-059/060,996.8,1.384070796,720.1943736,2.39,0.02,3.56,TVFF21-059,0.027,0.01,0.03,NA,2.77703E-07,NA,NA,NA,1.73564E-05,NA,NA,NA,0,0,6.66487E-06,4.16554E-07,4.16554E-07,NA,NA,4.16554E-07,NA,1.38851E-07,0,NA,NA,2.77703E-07,NA,0,NA,4.45713E-05,NA,0,0,NA,4.16554E-07,NA,NA,NA,NA,NA,NA,2.77703E-07,NA,NA,NA,NA,NA,1.80507E-06,NA,NA,NA,NA,NA,NA
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,7152021,Grab,163-TVFF21,TVFF21-061/062,992.8,0.971554994,1021.867013,2.05,0.02,3.05,TVFF21-061,0.026,0.01,0.029,NA,5.87161E-07,NA,NA,NA,6.16519E-06,NA,NA,NA,2.25078E-06,9.78601E-08,4.69728E-06,1.9572E-07,2.9358E-07,NA,0,2.9358E-07,NA,1.9572E-07,0,9.78601E-08,NA,4.59942E-06,4.50156E-06,1.17432E-06,NA,0.000117236,NA,9.78601E-08,9.78601E-08,0,4.893E-07,NA,2.9358E-07,3.22938E-06,NA,1.9572E-07,NA,9.78601E-08,1.76148E-06,NA,NA,NA,NA,5.87161E-07,NA,NA,0,1.9572E-07,NA,0
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,7152021,Grab,164-TVFF21,TVFF21-063/064,1013,1.179393173,858.9162827,1.73,0.02,2.56,TVFF21-063,0.023,0.01,0.025,NA,NA,NA,NA,NA,5.23916E-06,NA,NA,NA,1.62996E-06,NA,5.35559E-06,2.32852E-07,1.16426E-07,NA,NA,3.49277E-07,NA,0,0,1.16426E-07,NA,1.39711E-06,1.16426E-07,3.49277E-07,NA,4.00505E-05,NA,0,0,NA,2.32852E-07,NA,4.65703E-07,0.000278956,NA,NA,NA,2.32852E-07,1.16426E-07,NA,NA,0,NA,8.1498E-07,NA,NA,NA,5.82129E-07,NA,NA
Keith_Nelson,Warriors_Mark_Run ,6,7152021,Grab,165-TVFF21,TVFF21-065/066,989.7,0.884576485,1118.840504,2.43,0.02,3.62,TVFF21-065,0.112,0.01,0.158,NA,4.46891E-07,NA,NA,NA,2.50259E-06,NA,NA,NA,1.07254E-06,0,7.59715E-06,0,0,NA,NA,1.78756E-07,NA,1.16192E-06,NA,NA,NA,3.57513E-07,NA,8.93782E-08,NA,5.80065E-05,0,0,0,NA,8.93782E-07,NA,1.78756E-06,0.000214597,NA,8.93782E-08,NA,2.68135E-07,NA,0,NA,8.93782E-08,NA,8.93782E-07,NA,NA,NA,NA,NA,NA
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,7152021,Grab,166-TVFF21,TVFF21-067/068,996.4,1.134513274,878.2620907,1.9,0.02,2.82,TVFF21-067,0.045,0.01,0.058,NA,NA,NA,NA,NA,2.1292E-05,NA,NA,NA,1.13861E-06,0,1.69653E-05,5.00989E-06,2.27722E-07,NA,NA,2.27722E-07,NA,2.27722E-07,NA,1.13861E-07,NA,2.27722E-07,NA,0,NA,7.25296E-05,0,0,0,NA,4.21287E-06,NA,9.1089E-07,0.000273381,NA,NA,NA,2.27722E-07,NA,0,NA,0,NA,2.16336E-06,NA,NA,NA,3.41584E-07,NA,NA
Loville,Halfmoon_Creek ,8,7152021,Grab,167-TVFF21,TVFF21-069/070,988.9,1.015423515,973.8793571,2.7,0.02,4.03,TVFF21-069,0.036,0.01,0.044,NA,2.05364E-07,NA,NA,NA,2.8751E-06,NA,NA,NA,9.24139E-07,NA,6.36629E-06,NA,3.08046E-07,NA,0,3.08046E-07,NA,1.23219E-06,NA,NA,NA,NA,NA,0,NA,7.12614E-05,NA,0,0,0,NA,NA,6.16093E-07,0.00024654,NA,NA,NA,3.08046E-07,NA,NA,NA,NA,NA,4.10728E-06,NA,NA,NA,NA,NA,NA
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,7152021,Grab,168-TVFF21,TVFF21-071/072,1024.8,1.286346397,796.6749877,1.87,0.02,2.77,TVFF21-071,0.048,0.01,0.062,NA,NA,NA,NA,NA,2.83679E-05,NA,NA,NA,1.1297E-06,1.25522E-07,1.53136E-05,4.26774E-06,2.51043E-07,NA,NA,3.76565E-07,NA,3.76565E-07,NA,NA,NA,2.51043E-07,NA,0,NA,1.84517E-05,0,0,NA,NA,1.25522E-07,NA,5.02087E-07,0,NA,1.25522E-07,NA,2.51043E-07,NA,NA,NA,NA,NA,1.63178E-06,NA,NA,NA,8.78652E-07,NA,NA
Field Blank 7/15/21,All ,10,7152021,Grab,169-TVFF21,,977.3,1.32920354,735.2523301,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,9.65655E-06,NA,NA,NA,2.31213E-06,NA,2.72015E-07,0,NA,NA,0,6.39236E-06,NA,NA,NA,NA,NA,1.36008E-07,NA,NA,NA,0.000106086,NA,0,NA,0,0,NA,NA,0.000326555,NA,NA,NA,2.72015E-07,NA,NA,NA,NA,NA,2.99217E-06,NA,NA,NA,NA,NA,NA
Ag_Progress_Days ,Spruce_Creek,1,7302021,Grab,180-TVFF21,TVFF21-073/074,954.8,1.082427307,882.0915676,1.65,0.02,2.45,TVFF21-073,0.013,0.01,0.01,NA,0,NA,NA,NA,4.08121E-06,1.13367E-07,NA,NA,3.28764E-06,3.40101E-07,2.72081E-06,1.13367E-07,2.26734E-07,NA,NA,4.53468E-07,NA,0,5.66835E-07,1.7005E-06,NA,3.28764E-06,2.94754E-06,1.13367E-06,NA,2.60744E-06,0,0,2.26734E-07,NA,1.13367E-07,NA,5.66835E-07,7.48222E-06,NA,0,NA,1.13367E-07,NA,1.13367E-07,NA,NA,NA,1.81387E-06,NA,NA,0,4.53468E-07,NA,1.13367E-07
