Site_Name,Stream_Name ,Site_Number,Date_Collected,Sample_Type,ÊKyle_Sample_ID,Running_Number,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6292021,POCIS ,14-TVFF21,TVFF21-025/026P,0.0005,0.000723,0.00025,0.000285,0.0021,0.000185,0.025,0.0025,0.0001,0.0001,0.1151,1.4429,0.0002,1.0523,0.004119,0.0002,0.002225,2.4288,0.00007,0,1.0523,0,1.0166,0.629,0.001343,0.0046,0,0,0.004119,0.0001,0.001,0.0004,0.00025,0.000289,0.008309,0.001059,1.3935,0,1.5612,0.000883,0.001306,0.001288,0.002,0.000179,0.000179,0.000618,0.0003,0.00025,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6292021,POCIS ,15-TVFF21,TVFF21-027/028P,0.0068,0.000723,0.00025,0.000285,0.0033,0.000185,0.025,0.0025,0.0003,0.0001,0.1372,1.4423,0.0001,0.001205,0.004119,0.0002,0.002225,0.0194,0.00007,0.0001,0.001205,0.0001,1.0166,0.629,1.1111,0.006,0.0001,0.000153,0.004119,0.0001,0.002,0.0013,0.00025,0.000289,0.008309,0.001059,1.3932,0.000582,1.5608,0.000883,0.001306,0.001288,0.0034,0.000179,0.000179,0.000618,0.0007,0.00025,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,6292021,POCIS ,16-TVFF21,TVFF21-029/030P,0.0007,0.000723,0.00025,0.000285,0.0037,0.000185,0.025,0.0025,0.0002,0.000222,0.1187,0,0.0001,1.0524,0.004119,0.0001,0.002225,0.0244,0.00007,0.0001,1.0524,0.0002,0.008327,0.629,0.001343,0.0068,0,0,0.004119,0.0001,0.0033,0.001,0.0001,0.000289,0.008309,0.001059,1.394,0.000582,1.5595,0.0005,0.001306,0.001288,0.0036,0.000179,0.000179,0.000618,0.0008,0.00025,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6292021,POCIS ,17-TVFF21,TVFF21-031/032P,0.0003,0.000723,0.00025,0.000285,0.0076,0.000185,0.025,0.0025,0,0.000222,0.5951,0.0253,0,1.0522,0.004119,0.0005,0.0031,2.4378,0.00007,0.00032,1.0522,0,1.0166,0.629,1.197,0.0022,0,0.000153,0.004119,0.000277,0.0054,0.0021,0,0.000289,0.008309,0.001059,1.3935,0,0.001506,0.000883,0.001,0.001288,0.0071,0.000179,0.000179,0.000618,0.0084,0.00025,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,6292021,POCIS ,18-TVFF21,TVFF21-033/034P,0.003,0.000723,0.00025,0.000285,0.003,0.000185,0.025,0.0025,0,0.000222,0.381,0,0,1.0521,0.0001,0.0003,0.002225,0.0296,0.00007,0,1.0521,0,1.0166,0.629,0.001343,0.0016,0,0,0.0001,0,0.003962,0.003,0,0.000289,0.0003,0.001059,1.3928,0,0,0.000883,0.001306,0.001288,0.0057,0.000179,0.000179,0.000618,0.0006,0.00025,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6292021,POCIS ,19-TVFF21,TVFF21-035/036P,0.0004,0.000723,0.00025,0.000285,0.0069,0.000185,0.025,0.0025,0.0003,0.000222,0.3915,0.0182,0,1.0523,0.004119,0.0004,0.002225,2.4358,0.00007,0.0001,1.0523,0.000334,1.0166,0.629,0.001343,0.0016,0.0001,0,0.004119,0.000277,0.0043,0.0012,0,0.000289,0.008309,0.001059,1.3935,0,0,0.000883,0.0009,0.001288,0.0078,0.000179,0.000179,0.000618,0.0063,0.00025,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank6292021,All ,10,6292021,POCIS ,20-TVFF21,Field_Blank6292021,0.0014,0.000723,0.00025,0.000285,0.0081,0.000185,0.025,0.0025,0.0015,0.000222,1.0676,0.0003,0.000667,0.001205,0,0.0005,0.002225,0.0004,0.00007,0.00032,0.001205,0.000334,1.0167,0.0025,0.001343,0,0.0001,0,0,0.000277,0.003962,0.000128,0.0001,0.000289,0,0.001059,0.000488,0.000582,0.001506,0.000883,0.001306,0.001288,0.0221,0.000179,0.000179,0.000618,0.0002,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank6292021,All ,10,6292021,POCIS ,20R2-TVFF21,Field_Blank6292021,0.0014,0.000723,0.00025,0.000285,0.0063,0.000185,0.025,0.0025,0.0008,0.000222,0.0001,0,0.000667,0.001205,0,0.0005,0.002225,0.0003,0.00007,0.00032,0.001205,0.000334,0.008327,0.0025,0.001343,0,0.0003,0,0,0.000277,0.003962,0.000128,0.0001,0.000289,0,0.001059,0.000488,0.000582,0.001506,0.000883,0.001306,0.001288,0.02,0.000179,0.000179,0.000618,0.000499,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,7152021,POCIS ,81-TVFF21,TVFF21-055/056,0.0001,0.000723,0.00025,0.000285,0.0206,0.000185,0.025,0.0025,0.0013,0.0001,0.0472,0.000446,0,0,0.004119,0.0004,0.002225,0.0039,0.00007,0.0001,0,0.000334,0.008327,0.6332,0.001343,0.0019,0.000114,0,0.004119,0.000277,0.003962,0.0015,0.008,0.000289,0.008309,0.001059,0.0032,3.2739,0.001506,0.000883,0,0.001288,0.001,0.000179,0.000179,0.000618,0.0011,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,7152021,POCIS ,82-TVFF21,TVFF21-057/058,0.0005,0.000723,0.00025,0.000285,0.0442,0.000185,0.025,0.0025,0.0008,0.000222,0.0539,0.0092,0.0001,0.001205,0.004119,0.0009,0.002225,0.004,0.00007,0.0001,0.001205,0,1.0104,0.6332,0.001343,0.0045,0.0005,0.000153,0.004119,0.000277,0.3973,0.0007,0.0027,0.000289,0.008309,0.001059,0.0001,0.000582,0.001506,0.000883,0.0002,0.001288,0.0056,0.000179,0.000179,0.000618,0.0001,0.00025,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,7152021,POCIS ,83-TVFF21,TVFF21-059/060,0.001,0.000723,0.0059,0.000285,0.0417,0.000185,0.025,0.0025,0.0007,0.000222,0.0544,0.0064,0.0001,0.001205,0.004119,0.0014,0.002225,0.0024,0.00007,0.0001,0.001205,0.000334,0.008327,0.6332,0.001343,0.0035,0.0003,0.000153,0.004119,0.0001,0.003962,0.0004,0.0011,0.000289,0.8399,0.001059,0.0035,0.000582,0.001506,0.000883,0.0001,0.001288,0,0.000179,0.000179,0.000618,0.0002,0.00025,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,7152021,POCIS ,84-TVFF21,TVFF21-061/062,0.0007,0.000723,0.00025,0.000285,0.0291,0.000185,0.025,0.0025,0.0008,0.0002,0.0388,0.0022,0.0002,0.001205,0.004119,0.0011,0.002225,0.0035,0.00007,0.00032,0.001205,0.000334,0.008327,0.6332,0.001343,0.001,0.0007,0.000153,0.004119,0.0001,0.003962,0.0007,0.0006,0.000289,0.008309,0.001059,0.0029,3.2739,0.001506,0.000883,0.001306,0.001288,0.002,0,0.000179,0.000618,0.0005,0.00025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,7152021,POCIS ,85-TVFF21,TVFF21-063/064,0.0006,0.000723,0.00025,0.000285,0.0186,0.000185,0.025,0.0025,0.0009,0.000222,0.0361,0.002,0.0002,0.001205,0.004119,0.0005,0.002225,0.0032,0.00007,0.00032,0.001205,0.000334,0.008327,0.6332,0.001343,0.0009,0.0001,0.000153,0.004119,0.0001,0.003962,0.0007,0.0002,0.000289,0.008309,0.001059,0.0022,0.000582,0.001506,0.000883,0,0.001288,0.0073,0.000179,0.000179,0.000618,0.0004,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,7152021,POCIS ,86-TVFF21,TVFF21-065/066,0.0006,0.000723,0.00025,0.00024,0.0047,0.0008,0.025,0.0025,0.0007,0.0001,0.0689,0.000446,0.0001,0.001205,0.004119,0.0004,0.002225,0.0102,0.00007,0.0001,0.001205,0.000334,0.008327,0.6332,0.001343,0.0016,0,0,0.004119,0.000277,0.3972,0.0004,0,0.0623,0.008309,0.001059,0.0017,0.000582,0.0002,0.0004,0.001,0.001288,0.0013,0.000179,0.000179,0.000618,0.0004,0.00025,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,7152021,POCIS ,87-TVFF21,TVFF21-067/068,0.0003,0.000723,0.00025,0.00024,0.0397,0.000185,0.025,0.0025,0.0001,0.000222,0.0693,0.0309,0,0.001205,0.004119,0.0011,0.2328,0.0035,0.00007,0.00032,0.001205,0.000334,1.0101,0.6332,0.1679,0.0118,0.0001,0.000153,0.004119,0.000277,0.396,0.0005,0.0001,0.000289,0.008309,0.001059,0.0003,0.000582,0.001506,0.000883,0.001,0.001288,0.0103,0.000179,0.000179,0.000618,0.0118,0.00025,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,7152021,POCIS ,88-TVFF21,TVFF21-069/070,0.0005,0.000723,0.00025,0.00024,0.0066,0.000185,0.025,0.0025,0.0001,0.000222,0.0757,0.000446,0.0001,0.001205,0.004119,0.0004,0.002225,0.0202,0.00007,0.0001,0.001205,0.000334,1.0103,0.6332,0.001343,0.0015,0.0001,0.000153,0.004119,0.000277,0.003962,0.0009,0.0001,0.000289,0.008309,0.001059,0.0026,0.000582,0.001506,0.000883,0.001306,0.001288,0.0058,0,0.000179,0.000618,0.0011,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,7152021,POCIS ,89-TVFF21,TVFF21-071/072,0.0004,0.0001,0.00025,0.00024,0.0289,0.000185,0.025,0.0025,0.0001,0.000222,0.0732,0.0238,0.0001,0,0.004119,0.0009,0.2333,0.0076,0.00007,0.0001,0,0.000334,0.008327,0.6332,0.6819,0.0113,0.0001,0,0.004119,0.000277,0.3966,0.0002,0.00025,0.000289,0.008309,0.001059,0.0002,0.000582,0.001506,0.000883,0.0006,0.001288,0.0174,0.000179,0.000179,0.000618,0.0093,0.00025,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank10142021,All ,10,7152021,POCIS ,90-TVFF21,Field_Blank10142021,0.0004,0.000723,0.00025,0.00024,0.001042,0.000185,0.025,0.0025,0.0024,0.000222,0.0017,0.0003,0.0001,0.001205,0.004119,0.0003,0.002225,0.000895,0.00007,0.00032,0.001205,0.001,0.008327,0.6329,0.001343,0.000892,0,0,0.004119,0,0.3978,0.000128,0,0.000289,0.008309,0.001059,0.0001,0.000582,0.001506,0.000883,0.001306,0.001288,0.0005,0.000179,0.000179,0.000618,0,0.00025,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
